user,comment,sentiment,labeler
TraceFit By Kundai Murapa,This trailer apparently has Doms brother but i cant see him.,neutral,ardisa
A O,Remember when F&F was about cars and racing... SMH,negative,ardisa
Josh Juarez,"Dom- ""Family is everything"" Whole movie Tries to kill his brother.",neutral,ardisa
samira noor,furious 10 - the resurrection of gisele furious 11 - brian: surprise surprisee,neutral,ardisa
Ill slap ya mum with an Argos catalogue,Dom: Family is the most important thing in the world Also dom: did I forget to mention my brother these past 20 years.,neutral,ardisa
nachi316,Sir Issac Newton: “How many laws of physics are you gonna defy?” Justin Lin: “Yes”.,neutral,ardisa
Dávid Nagy,This is absurd really....still gonna pay for it.,negative,ardisa
john wick,Han the type of guy to survive even corona virus.,neutral,ardisa
Benton Xavier,Please tell me thats not a Pontiac Fiero strapped to a rocket engine Two films later...,negative,ardisa
milan dhara,Doms brother was here since F&F you just...,neutral,ardisa
IDoNothingButCommentOnVideos,Fast And Furious 10: Doms Hair Is Back To Kill Him,neutral,ardisa
Arfeen Rahat,Forget the trailerI came here to read comments????,negative,ardisa
IRHasDiabetes911,"The Fast and the Furious: ""Well be making movies forever!"" Coronavirus: ""You have to be stopped.""",negative,ardisa
420BlazeiT 01,Dom being chased by a whole army shooting at him constantly while blowing nukes behind him and going 120mph on a mountain Doms Face: ·___·,neutral,ardisa
Cherry Stone,I remember when it was about Street Racing and stealing DVD players lol,neutral,ardisa
Sandu SG,Where is Jason Statham where is Dwayne Johnson? Wtf?,neutral,ardisa
Batuhan Erbil,I mean in 1:30 how did Dom just flied and hit his head to the ceiling I cant understand is this the new Paranormal Activity movie,negative,ardisa
Fidelia Amanda,i wish Paul could survived on an accident car like han does,neutral,ardisa
Iketani Koichiro,If Paul was still alive he wouldve changed the movies purpose back into cars,neutral,ardisa
Doctor Sam,Fast 10: Your grandfather Vince Mcmahon is back to kill you Dom. Fast 11: Your uncle HHH is back Dom. Fast 12: Your dad Shawn Michaels is getting his hands on nuclear weapons Dom. Fast 13: Your prom dates brother AJ Styles coming for you Dom,neutral,ardisa
Neon,When i call my friends and my lil brother call his friends.,neutral,ardisa
Jetfire97,2:35 rip Hans car,neutral,ardisa
SILENT D. A.,Sean from Tokyo Drift is in this. Slow the video down and watch when the “rocket strapped to a Pontiac fiaro “clip is playing,neutral,ardisa
awsome,Fast and the furious 1 - 3 about cars with some background on the characters. 4-9 pure hype trash with basically nothing about cars.,neutral,ardisa
Saurav Samal,Stephen Hawkins just rolled in his grave witnessing the physics here,negative,ardisa
Jason Gann,Family is everything thats why in the past 8 movies when his life was on the line no one & I mean no one ever mentioned doms brother. ??x100k,negative,ardisa
virgilio moncada,So now that Han is back can we have a second Tokyo drift? This time with Eurobeat please.,positive,ardisa
Wreck Pw,Fast 10: Superpowers basically Director: We not gonna stop until this crew beats Galactus with the Avengers,negative,ardisa
supercar playz,John cena the invisible assassin PLOT TWIST: Hes not their.,negative,ardisa
I Slay Goblins,FF6: You dont turn your back on Family even when they do. FF9: Were gonna fight Doms little brother.,neutral,ardisa
The Fox,i always interested to have a look all those supreme editors.,positive,ardisa
Hero Nerd,Dom: Im gonna take you down little brother. Jacob: how can you take down what you cant see?,neutral,ardisa
??????Al laklak,Who is here because its the only movie trailer on trendending in quarentine,negative,ardisa
InZomnia365,Tell me youre not thinking what Im thinking. Classic.,neutral,ardisa
JaysonCreates,The infinity stones really did bring everyone back,neutral,ardisa
Chris,Fast and furious 10: The last ride Fast and furious 11: The final last ride Fast and furious 12: The final last ride - part 2 Fast and furious 13: The new ride,neutral,ardisa
mr burnik,"Next chapter : Hitler joins the crew its now ""FAST NEIN""",neutral,ardisa
Marko T.,Fast Furious 20- Toreto find out that he is his own father...,neutral,ardisa
syed nazzim,In the post-credit scene Nick fury hires Vin diesel for an avenger.,neutral,ardisa
Cherry Stone,I remember when it was about Street Racing and stealing DVD players lol,neutral,ardisa
Josh Juarez,"Dom- ""Family is everything"" Whole movie Tries to kill his brother.",neutral,ardisa
TraceFit By Kundai Murapa,This trailer apparently has Doms brother but i cant see him.,neutral,ardisa
nachi316,Sir Issac Newton: “How many laws of physics are you gonna defy?” Justin Lin: “Yes”.,neutral,ardisa
john wick,Han the type of guy to survive even corona virus.,neutral,ardisa
tommy d,Best supporting actor: Hans potato chips,neutral,ardisa
A O,Remember when F&F was about cars and racing... SMH,negative,ardisa
Benton Xavier,Please tell me thats not a Pontiac Fiero strapped to a rocket engine Two films later...,negative,ardisa
Dávid Nagy,This is absurd really....still gonna pay for it.,negative,ardisa
Arfeen Rahat,Forget the trailerI came here to read comments????,negative,ardisa
I Slay Goblins,FF6: You dont turn your back on Family even when they do. FF9: Were gonna fight Doms little brother.,neutral,ardisa
samira noor,furious 10 - the resurrection of gisele furious 11 - brian: surprise surprisee,neutral,ardisa
420BlazeiT 01,Dom being chased by a whole army shooting at him constantly while blowing nukes behind him and going 120mph on a mountain Doms Face: ·___·,neutral,ardisa
IDoNothingButCommentOnVideos,Fast And Furious 10: Doms Hair Is Back To Kill Him,neutral,ardisa
IRHasDiabetes911,"The Fast and the Furious: ""Well be making movies forever!"" Coronavirus: ""You have to be stopped.""",negative,ardisa
SHSHOX !,The villain is going to be hard to defeat especially when you cant see him,neutral,ardisa
Fidelia Amanda,i wish Paul could survived on an accident car like han does,neutral,ardisa
Iketani Koichiro,If Paul was still alive he wouldve changed the movies purpose back into cars,neutral,ardisa
Batuhan Erbil,I mean in 1:30 how did Dom just flied and hit his head to the ceiling I cant understand is this the new Paranormal Activity movie,negative,ardisa
virgilio moncada,So now that Han is back can we have a second Tokyo drift? This time with Eurobeat please.,positive,ardisa
,John Cena is Doms brother Me: Ye Im probably not gonna see this thats just horrible.. Han is back from the dead Me: On second thought...,neutral,ardisa
Wreck Pw,Fast 10: Superpowers basically Director: We not gonna stop until this crew beats Galactus with the Avengers,negative,ardisa
Sandu SG,Where is Jason Statham where is Dwayne Johnson? Wtf?,neutral,ardisa
Jetfire97,2:35 rip Hans car,neutral,ardisa
??????Al laklak,Who is here because its the only movie trailer on trendending in quarentine,negative,ardisa
Saurav Samal,Stephen Hawkins just rolled in his grave witnessing the physics here,negative,ardisa
SILENT D. A.,Sean from Tokyo Drift is in this. Slow the video down and watch when the “rocket strapped to a Pontiac fiaro “clip is playing,neutral,ardisa
awsome,Fast and the furious 1 - 3 about cars with some background on the characters. 4-9 pure hype trash with basically nothing about cars.,negative,ardisa
supercar playz,John cena the invisible assassin PLOT TWIST: Hes not their.,negative,ardisa
tudor patrascu,F&F 10:Dom learns that Letty is his sister,neutral,ardisa
Eddie Cardwell,FF23 - “Being a Grandpa doesnt mean you put the keys down and retire from the wheel. Living your life a quarter of a mile at a time is eternal. Now my Grandson wants to take over the world and I must stop him.”,neutral,ardisa
tonymontana1231,Imagine if they brind back Paul after huge conspiracy.,neutral,ardisa
Hero Nerd,Dom: Im gonna take you down little brother. Jacob: how can you take down what you cant see?,neutral,ardisa
Adam Vilímek,Plot twis john cena is at all fas and furious,negative,ardisa
Hans Daniel,This enemy is very difficult to defeat because we cannot see him,neutral,ardisa
SHSHOX !,The villain is going to be hard to defeat especially when you cant see him,neutral,ardisa
Marko T.,Fast Furious 20- Toreto find out that he is his own father...,neutral,ardisa
syed nazzim,In the post-credit scene Nick fury hires Vin diesel for an avenger.,neutral,ardisa
Chris,Fast and furious 10: The last ride Fast and furious 11: The final last ride Fast and furious 12: The final last ride - part 2 Fast and furious 13: The new ride,neutral,ardisa
mr burnik,"Next chapter : Hitler joins the crew its now ""FAST NEIN""",neutral,ardisa
JaysonCreates,The infinity stones really did bring everyone back,neutral,ardisa
TraceFit By Kundai Murapa,This trailer apparently has Doms brother but i cant see him.,neutral,ardisa
A O,Remember when F&F was about cars and racing... SMH,negative,ardisa
Josh Juarez,"Dom- ""Family is everything"" Whole movie Tries to kill his brother.",neutral,ardisa
samira noor,furious 10 - the resurrection of gisele furious 11 - brian: surprise surprisee,neutral,ardisa
Ill slap ya mum with an Argos catalogue,Dom: Family is the most important thing in the world Also dom: did I forget to mention my brother these past 20 years.,neutral,ardisa
nachi316,Sir Issac Newton: “How many laws of physics are you gonna defy?” Justin Lin: “Yes”.,neutral,ardisa
Dávid Nagy,This is absurd really....still gonna pay for it.,negative,ardisa
john wick,Han the type of guy to survive even corona virus.,neutral,ardisa
Benton Xavier,Please tell me thats not a Pontiac Fiero strapped to a rocket engine Two films later...,negative,ardisa
milan dhara,Doms brother was here since F&F you just...,neutral,ardisa
IDoNothingButCommentOnVideos,Fast And Furious 10: Doms Hair Is Back To Kill Him,neutral,ardisa
Arfeen Rahat,Forget the trailerI came here to read comments????,negative,ardisa
IRHasDiabetes911,"The Fast and the Furious: ""Well be making movies forever!"" Coronavirus: ""You have to be stopped.""",negative,ardisa
420BlazeiT 01,Dom being chased by a whole army shooting at him constantly while blowing nukes behind him and going 120mph on a mountain Doms Face: ·___·,neutral,ardisa
Cherry Stone,I remember when it was about Street Racing and stealing DVD players lol,neutral,ardisa
Sandu SG,Where is Jason Statham where is Dwayne Johnson? Wtf?,neutral,ardisa
Batuhan Erbil,I mean in 1:30 how did Dom just flied and hit his head to the ceiling I cant understand is this the new Paranormal Activity movie,negative,ardisa
Fidelia Amanda,i wish Paul could survived on an accident car like han does,neutral,ardisa
Iketani Koichiro,If Paul was still alive he wouldve changed the movies purpose back into cars,neutral,ardisa
Doctor Sam,Fast 10: Your grandfather Vince Mcmahon is back to kill you Dom. Fast 11: Your uncle HHH is back Dom. Fast 12: Your dad Shawn Michaels is getting his hands on nuclear weapons Dom. Fast 13: Your prom dates brother AJ Styles coming for you Dom,neutral,ardisa
Neon,When i call my friends and my lil brother call his friends.,neutral,ardisa
Jetfire97,2:35 rip Hans car,neutral,ardisa
SILENT D. A.,Sean from Tokyo Drift is in this. Slow the video down and watch when the “rocket strapped to a Pontiac fiaro “clip is playing,neutral,ardisa
awsome,Fast and the furious 1 - 3 about cars with some background on the characters. 4-9 pure hype trash with basically nothing about cars.,negative,ardisa
Saurav Samal,Stephen Hawkins just rolled in his grave witnessing the physics here,negative,ardisa
Jason Gann,Family is everything thats why in the past 8 movies when his life was on the line no one & I mean no one ever mentioned doms brother. ??x100k,negative,ardisa
virgilio moncada,So now that Han is back can we have a second Tokyo drift? This time with Eurobeat please.,positive,ardisa
Wreck Pw,Fast 10: Superpowers basically Director: We not gonna stop until this crew beats Galactus with the Avengers,negative,ardisa
supercar playz,John cena the invisible assassin PLOT TWIST: Hes not their.,negative,ardisa
I Slay Goblins,FF6: You dont turn your back on Family even when they do. FF9: Were gonna fight Doms little brother.,neutral,ardisa
The Fox,i always interested to have a look all those supreme editors.,positive,ardisa
Hero Nerd,Dom: Im gonna take you down little brother. Jacob: how can you take down what you cant see?,neutral,ardisa
??????Al laklak,Who is here because its the only movie trailer on trendending in quarentine,negative,ardisa
InZomnia365,Tell me youre not thinking what Im thinking. Classic.,neutral,ardisa
